"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.968261990E-1,1.028913707E-1,7.926224917E-2,9.833005905E0,9.833863649E0
1.993686990E-1,1.339980662E-1,7.447660714E-2,9.873683929E0,9.874874004E0
2.019111990E-1,1.531406492E-1,6.251249462E-2,9.830613136E0,9.832004603E0
2.044536990E-1,7.178468257E-2,7.686942816E-2,9.756435394E0,9.757002283E0
2.069961990E-1,9.092725813E-2,6.969095767E-2,9.876076698E0,9.876741140E0
2.095386990E-1,2.156531364E-1,9.840483218E-2,9.978967667E0,9.981782680E0
2.120811990E-1,1.818545163E-1,8.404789865E-2,1.001725292E1,1.001925602E1
2.146236990E-1,6.699903309E-2,1.199402362E-1,9.928718567E0,9.929669023E0
2.171661990E-1,8.374879509E-2,5.054837838E-2,9.734899521E0,9.735390988E0
2.197086990E-1,1.555334777E-1,1.465603895E-2,9.746864319E0,9.748116203E0
2.222511990E-1,1.339980662E-1,1.055833027E-1,9.861719131E0,9.863194591E0
2.247936990E-1,1.339980662E-1,8.404789865E-2,9.928718567E0,9.929978445E0
2.273361990E-1,1.459621787E-1,1.103689447E-1,9.921540260E0,9.923227670E0
2.298786990E-1,1.339980662E-1,1.031904742E-1,9.907182693E0,9.908626175E0
2.324211990E-1,1.459621787E-1,6.011966988E-2,9.754042625E0,9.755319927E0
2.349636990E-1,1.746760458E-1,7.447660714E-2,9.679864883E0,9.681727255E0
2.375061990E-1,1.674975902E-1,1.199402362E-1,9.852148056E0,9.854301722E0
2.400486990E-1,1.387837082E-1,8.404789865E-2,9.952646255E0,9.953968679E0
2.425911990E-1,1.363908947E-1,6.729813665E-2,9.835398674E0,9.836574535E0
2.451336990E-1,6.221338734E-2,6.490531564E-2,9.713364601E0,9.713780679E0
2.476761990E-1,8.135596663E-2,6.490531564E-2,9.715757370E0,9.716314773E0
2.502186990E-1,1.579262912E-1,3.858426586E-2,9.694221497E0,9.695584556E0
2.527611990E-1,1.316052526E-1,8.404789865E-2,9.804291725E0,9.805535183E0
2.553036990E-1,9.092725813E-2,5.294119939E-2,9.813862801E0,9.814426810E0
2.578461990E-1,1.770688742E-1,8.644071966E-2,9.787542343E0,9.789525550E0
2.603886990E-1,1.698904037E-1,8.644071966E-2,9.840184212E0,9.842030282E0
2.629311990E-1,1.531406492E-1,9.361918271E-2,1.001007462E1,1.001168370E1
2.654736990E-1,1.869392693E-1,1.271187067E-1,9.902397156E0,9.904977278E0
2.680161990E-1,1.531406492E-1,4.097708687E-2,9.710971832E0,9.712265704E0
2.705586990E-1,1.794617027E-1,2.183450572E-2,9.720542908E0,9.722223906E0
2.731011990E-1,2.012962103E-1,1.944168471E-2,9.816255569E0,9.818338533E0
2.756436990E-1,1.818545163E-1,3.858426586E-2,9.947860718E0,9.949597614E0
2.781861990E-1,1.651047617E-1,7.447660714E-2,9.990931511E0,9.992573182E0
2.807286990E-1,1.674975902E-1,9.601201117E-2,9.883255005E0,9.885140527E0
2.832711990E-1,1.124626622E-1,5.533402413E-2,9.689435959E0,9.690246586E0
2.858136990E-1,1.794617027E-1,6.251249462E-2,9.720542908E0,9.722400359E0
2.883561990E-1,2.706880569E-1,1.055833027E-1,9.861719131E0,9.865998383E0
