"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.974511900E-1,7.178467698E-3,7.357929647E-2,9.751649857E0,9.751930084E0
1.999559810E-1,3.589234129E-2,8.315058798E-2,9.770792007E0,9.771211733E0
2.024607730E-1,4.785645287E-3,8.554340899E-2,9.763613701E0,9.763989609E0
2.049656170E-1,0.000000000E0,6.400800496E-2,9.754042625E0,9.754252640E0
2.074704080E-1,1.435693540E-2,6.161518395E-2,9.768399239E0,9.768604109E0
2.099752000E-1,2.392822644E-3,5.922235921E-2,9.727721214E0,9.727901780E0
2.125026480E-1,0.000000000E0,1.070788130E-1,9.773184776E0,9.773771357E0
2.150079600E-1,3.589234129E-2,6.879365444E-2,9.742077827E0,9.742386834E0
2.175133250E-1,1.674975827E-2,8.554340899E-2,9.749257088E0,9.749646762E0
2.200187420E-1,2.632104978E-2,6.161518395E-2,9.816255569E0,9.816484230E0
2.225241060E-1,6.221338734E-2,8.075776696E-2,9.833005905E0,9.833534332E0
2.250294710E-1,6.699903309E-2,5.682953820E-2,9.821041107E0,9.821434055E0
2.275348350E-1,6.699903309E-2,5.443671346E-2,9.794720650E0,9.795101063E0
2.300402000E-1,4.546362907E-2,3.768695518E-2,9.811470032E0,9.811647743E0
2.325433770E-1,8.853443712E-2,5.204389244E-2,9.789935112E0,9.790473758E0
2.350486380E-1,4.067798331E-2,3.529413417E-2,9.782755852E0,9.782904090E0
2.375539500E-1,4.067798331E-2,7.118647546E-2,9.766006470E0,9.766350628E0
2.400592630E-1,4.067798331E-2,8.315058798E-2,9.777970314E0,9.778408469E0
2.425645750E-1,6.699903309E-2,5.922235921E-2,9.777970314E0,9.778379192E0
2.450699400E-1,0.000000000E0,7.357929647E-2,9.768399239E0,9.768676348E0
2.475752520E-1,4.785645381E-2,7.597211748E-2,9.770792007E0,9.771204555E0
2.500805650E-1,3.110669367E-2,6.879365444E-2,9.751649857E0,9.751942120E0
2.525873880E-1,5.024927482E-2,6.400800496E-2,9.761220932E0,9.761560126E0
2.550927000E-1,6.460621208E-2,7.357929647E-2,9.782755852E0,9.783245879E0
2.575980130E-1,7.178468257E-2,9.272187948E-2,9.833005905E0,9.833705076E0
2.601033770E-1,5.982056633E-2,9.750752151E-2,9.813862801E0,9.814529499E0
2.626087420E-1,1.076770201E-1,5.443671346E-2,9.825826645E0,9.826567404E0
2.651141060E-1,5.982056633E-2,7.597211748E-2,9.813862801E0,9.814339169E0
2.676194710E-1,5.742774159E-2,8.554340899E-2,9.842576981E0,9.843116236E0
2.701247830E-1,5.742774159E-2,9.032905847E-2,9.837791443E0,9.838373735E0
2.726065540E-1,5.742774159E-2,7.118647546E-2,9.847362518E0,9.847787266E0
