"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.433032860E-1,-8.140286058E-2,-2.609679997E-1,9.771036148E0,9.774859494E0
1.453031190E-1,-8.140286058E-2,-2.609679997E-1,9.771036148E0,9.774859494E0
1.473028520E-1,-7.900865376E-2,-2.561795712E-1,9.771036148E0,9.774713180E0
1.493025850E-1,-1.125274822E-1,-2.633621991E-1,9.763854027E0,9.768053416E0
1.513023180E-1,-1.077390760E-1,-2.609679997E-1,9.756670952E0,9.760755097E0
1.533020510E-1,-1.101332754E-1,-2.609679997E-1,9.759065628E0,9.763175486E0
1.553017840E-1,-9.816227108E-2,-2.466027737E-1,9.751882553E0,9.755493944E0
1.573015840E-1,-1.029506698E-1,-2.513911724E-1,9.754277229E0,9.758059265E0
1.593013170E-1,-1.149216816E-1,-2.466027737E-1,9.761459351E0,9.765250052E0
1.613010500E-1,-1.125274822E-1,-2.561795712E-1,9.766247749E0,9.770255140E0
1.633007830E-1,-9.576806426E-2,-2.466027737E-1,9.759065628E0,9.762650582E0
1.653005160E-1,-1.029506698E-1,-2.466027737E-1,9.759065628E0,9.762723683E0
1.673002490E-1,-1.125274822E-1,-2.729389966E-1,9.759065628E0,9.763530103E0
1.692999820E-1,-1.125274822E-1,-2.633621991E-1,9.761459351E0,9.765659770E0
1.712997150E-1,-1.053448766E-1,-2.513911724E-1,9.751882553E0,9.755691077E0
1.732995150E-1,-1.125274822E-1,-2.513911724E-1,9.756670952E0,9.760557772E0
1.752992480E-1,-1.149216816E-1,-2.609679997E-1,9.759065628E0,9.763230675E0
1.772989810E-1,-9.816227108E-2,-2.561795712E-1,9.751882553E0,9.755740727E0
1.792987140E-1,-8.619125932E-2,-2.609679997E-1,9.771036148E0,9.774900544E0
1.812984470E-1,-9.576806426E-2,-2.561795712E-1,9.759065628E0,9.762897184E0
1.832981800E-1,-8.619125932E-2,-2.561795712E-1,9.780612946E0,9.784347014E0
1.852980130E-1,-8.619125932E-2,-2.561795712E-1,9.780612946E0,9.784347014E0
1.872978130E-1,-8.858546615E-2,-2.585737705E-1,9.766247749E0,9.770071795E0
1.892976130E-1,-1.101332754E-1,-2.705447972E-1,9.754277229E0,9.758649911E0
1.912973790E-1,-1.125274822E-1,-2.585737705E-1,9.751882553E0,9.755959008E0
1.932971450E-1,-1.292868853E-1,-2.561795712E-1,9.756670952E0,9.760889874E0
1.952969110E-1,-1.173158810E-1,-2.585737705E-1,9.768642426E0,9.772768198E0
1.972966770E-1,-1.029506698E-1,-2.513911724E-1,9.751882553E0,9.755665518E0
1.992964430E-1,-9.097966552E-2,-2.657563984E-1,9.756670952E0,9.760713694E0
2.012962090E-1,-8.619125932E-2,-2.561795712E-1,9.768642426E0,9.772381068E0
2.032960420E-1,-1.029506698E-1,-2.681505978E-1,9.768642426E0,9.772864392E0
2.052957420E-1,-1.029506698E-1,-2.681505978E-1,9.768642426E0,9.772864392E0
2.072955420E-1,-1.077390760E-1,-2.561795712E-1,9.754277229E0,9.758235494E0
2.092953420E-1,-1.005564705E-1,-2.561795712E-1,9.756670952E0,9.760551605E0
2.112951420E-1,-9.097966552E-2,-2.681505978E-1,9.761459351E0,9.765565559E0
2.132952420E-1,-8.858546615E-2,-2.609679997E-1,9.761459351E0,9.765348961E0
2.152950420E-1,-9.337386489E-2,-2.537853718E-1,9.754277229E0,9.758024901E0
2.172948420E-1,-9.816227108E-2,-2.609679997E-1,9.756670952E0,9.760654086E0
2.192947080E-1,-1.005564705E-1,-2.705447972E-1,9.756670952E0,9.760939204E0
2.212945740E-1,-9.576806426E-2,-2.657563984E-1,9.756670952E0,9.760759502E0
2.232944400E-1,-8.619125932E-2,-2.537853718E-1,9.744700432E0,9.748385633E0
2.252947730E-1,-8.619125932E-2,-2.537853718E-1,9.744700432E0,9.748385633E0
2.272946390E-1,-8.140286058E-2,-2.513911724E-1,9.754277229E0,9.757855718E0
2.292945050E-1,-9.337386489E-2,-2.489969730E-1,9.768642426E0,9.772261407E0
2.312943710E-1,-9.576806426E-2,-2.609679997E-1,9.771036148E0,9.774989679E0
2.332938040E-1,-9.337386489E-2,-2.609679997E-1,9.773430824E0,9.777360229E0
2.352937370E-1,-1.077390760E-1,-2.585737705E-1,9.766247749E0,9.770264234E0
2.372936030E-1,-1.125274822E-1,-2.561795712E-1,9.763854027E0,9.767862400E0
2.392934690E-1,-1.197100878E-1,-2.489969730E-1,9.759065628E0,9.762975567E0
2.412933350E-1,-1.101332754E-1,-2.442085743E-1,9.754277229E0,9.757955290E0
2.432932010E-1,-8.858546615E-2,-2.561795712E-1,9.756670952E0,9.760435616E0
2.452929670E-1,-9.337386489E-2,-2.585737705E-1,9.759065628E0,9.762937110E0
2.472928330E-1,-9.576806426E-2,-2.513911724E-1,9.761459351E0,9.765165523E0
2.492926990E-1,-9.097966552E-2,-2.513911724E-1,9.763854027E0,9.767513516E0
2.512925990E-1,-1.101332754E-1,-2.537853718E-1,9.771036148E0,9.774951855E0
2.532924320E-1,-1.173158810E-1,-2.513911724E-1,9.775824547E0,9.779760023E0
2.552922650E-1,-1.077390760E-1,-2.537853718E-1,9.771036148E0,9.774925173E0
2.572920980E-1,-1.173158810E-1,-2.657563984E-1,9.756670952E0,9.760994700E0
2.592919310E-1,-1.101332754E-1,-2.681505978E-1,9.761459351E0,9.765762783E0
2.612917640E-1,-1.125274822E-1,-2.633621991E-1,9.756670952E0,9.760873431E0
2.632915970E-1,-9.816227108E-2,-2.466027737E-1,9.759065628E0,9.762674362E0
2.652915300E-1,-9.816227108E-2,-2.466027737E-1,9.759065628E0,9.762674362E0
2.672913960E-1,-9.576806426E-2,-2.370259613E-1,9.761459351E0,9.764806270E0
2.692911960E-1,-1.101332754E-1,-2.418143749E-1,9.766247749E0,9.769861751E0
2.712909960E-1,-1.149216816E-1,-2.442085743E-1,9.761459351E0,9.765189884E0
