"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.783061540E-1	1.953605562E-2	9.896121919E-3	5.843162537E-3	2.266568435E-2
3.830261540E-1	1.217737608E-2	9.759552777E-3	-2.489757538E-2	2.938412187E-2
3.877462060E-1	3.323005512E-2	1.434426755E-2	-1.982498169E-2	4.126771709E-2
3.924662060E-1	3.986607119E-2	1.414909214E-2	-6.732940674E-4	4.230784520E-2
3.971862580E-1	1.810261235E-2	2.814467624E-2	-5.382537842E-3	3.389393881E-2
4.019062580E-1	2.496130764E-2	3.248598427E-2	1.829242706E-2	4.486667963E-2
4.066262580E-1	2.698305994E-2	2.494436502E-2	2.276611328E-2	4.322733839E-2
4.113463100E-1	2.659403905E-2	1.042510942E-2	8.296012878E-3	2.974474154E-2
4.160663100E-1	1.685314998E-2	-6.262496114E-3	-3.619194031E-3	1.833974065E-2
4.207863100E-1	3.080348857E-2	2.213873342E-2	-3.572463989E-3	3.810171813E-2
4.255063620E-1	1.617874950E-2	1.947169006E-2	-5.888938904E-3	2.599188817E-2
4.302263620E-1	1.360983960E-2	7.419124246E-3	3.636360168E-3	1.592150288E-2
4.349464150E-1	3.959104419E-3	9.668316692E-3	-5.861282349E-3	1.197937754E-2
4.396664150E-1	8.635362610E-3	3.316059709E-2	1.548099518E-2	3.760127522E-2
4.443864150E-1	1.094829291E-2	1.618972048E-2	-5.981445312E-3	2.043892989E-2
4.491064670E-1	6.142849103E-3	1.761753112E-3	3.547668457E-3	7.309194252E-3
4.538264670E-1	-8.117571473E-3	-5.345448852E-3	-1.777362823E-2	2.025760723E-2
4.585464670E-1	6.136817858E-3	-2.966854721E-3	1.353263855E-3	6.949394464E-3
4.632665190E-1	3.727216274E-3	1.362951472E-2	1.316261292E-2	1.931088272E-2
4.679865190E-1	1.080693305E-2	-3.077607602E-3	2.010726929E-2	2.303396945E-2
4.727065710E-1	-8.186437190E-3	-2.198878303E-2	-3.777503967E-3	2.376539226E-2
4.774265710E-1	-1.274395362E-2	-2.835325897E-3	9.975433350E-4	1.309360605E-2
4.821466230E-1	3.987748176E-3	4.301577806E-3	1.281738281E-2	1.409577984E-2
4.868666230E-1	-7.890146226E-3	4.205215722E-3	1.504325867E-2	1.749965366E-2
4.915866230E-1	1.633698121E-3	8.844126016E-3	2.908039093E-2	3.043939341E-2
4.963066750E-1	-7.799789310E-4	-1.970501244E-2	2.876758575E-2	3.487792816E-2
5.010266750E-1	-3.168072551E-3	-5.312208086E-3	4.788398743E-3	7.822084183E-3
5.057466750E-1	1.583299041E-2	-2.909783274E-3	1.657581329E-2	2.310644954E-2
5.104667270E-1	2.040274069E-2	1.841057464E-2	2.113914490E-2	3.467109074E-2
5.151867270E-1	1.545497775E-2	-3.113653511E-3	1.144886017E-2	1.948403384E-2
5.199067790E-1	1.113636419E-3	-5.471318960E-3	1.606845856E-2	1.701090467E-2
5.246267790E-1	2.007825300E-2	-2.435849048E-2	1.827430725E-2	3.647495864E-2
5.293467790E-1	3.349781036E-3	-5.156956613E-3	1.509666443E-3	6.332008155E-3
5.340668310E-1	2.466528863E-2	-5.099199712E-3	1.807785034E-2	3.100301556E-2
5.387868310E-1	2.439426258E-2	-1.212257892E-2	3.684997559E-3	2.748847347E-2
5.435068310E-1	-1.936975867E-3	-2.387380041E-2	2.260589600E-2	3.293534204E-2
5.482268830E-1	7.559789345E-3	2.402663231E-3	8.170127869E-3	1.138745779E-2
5.529468830E-1	7.486673072E-3	-2.371164225E-2	-1.387596130E-3	2.490416983E-2
5.576669350E-1	7.414767519E-3	-3.299008682E-2	-3.746032715E-3	3.401995542E-2
5.623869350E-1	9.742286056E-3	-6.655976176E-3	-1.556301117E-2	1.953001467E-2
