"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.178210460E-1,1.605007052E-2,5.189803243E-1,1.001242065E1,1.002587480E1
2.203322440E-1,4.072681069E-3,5.764718056E-1,1.011542702E1,1.013184090E1
2.228434420E-1,-2.467307448E-2,5.477260947E-1,1.028790092E1,1.030250057E1
2.253545870E-1,-3.904594481E-2,5.237712860E-1,1.029508781E1,1.030847681E1
2.278657850E-1,6.468147039E-3,5.477260947E-1,1.034060192E1,1.035509989E1
2.303769830E-1,-5.581428111E-2,5.453305840E-1,1.031664658E1,1.033120018E1
2.328881290E-1,-5.102333426E-2,5.453305840E-1,1.031185627E1,1.032639185E1
2.353993270E-1,-6.300072372E-2,5.261667371E-1,1.026634216E1,1.028000982E1
2.379105250E-1,-6.300072372E-2,5.453305840E-1,1.019926929E1,1.021403195E1
2.404216710E-1,-6.060524285E-2,5.046074390E-1,1.021124554E1,1.022388562E1
2.429328690E-1,-5.341880023E-2,5.525169969E-1,1.021364212E1,1.022871517E1
2.454440670E-1,-6.779167056E-2,5.573079586E-1,1.025196934E1,1.026732989E1
2.479532330E-1,-7.737359405E-2,5.836582780E-1,1.027352905E1,1.029038594E1
2.504644310E-1,-4.623238742E-2,5.620989203E-1,1.022082806E1,1.023637723E1
2.529755770E-1,-1.509115100E-2,5.405396223E-1,1.020645523E1,1.022076999E1
2.554867750E-1,-1.269567013E-2,5.093984008E-1,1.017770863E1,1.019045636E1
2.579979730E-1,-5.509242415E-3,5.261667371E-1,1.013698578E1,1.015063360E1
2.605091190E-1,2.084102482E-2,5.405396223E-1,1.009626293E1,1.011074392E1
2.630203170E-1,9.270538390E-2,5.357487202E-1,9.974094391E0,9.988902838E0
2.655315150E-1,9.510086477E-2,4.902345538E-1,9.964511871E0,9.977017136E0
2.680426600E-1,9.270538390E-2,5.189803243E-1,9.933370590E0,9.947350710E0
2.705538580E-1,1.046827734E-1,5.117939115E-1,9.921393394E0,9.935136556E0
2.730650560E-1,1.262420863E-1,4.734662175E-1,9.938161850E0,9.950234584E0
2.755762020E-1,1.525923461E-1,4.974210262E-1,9.847132683E0,9.860868835E0
2.780878170E-1,2.100838274E-1,5.117939115E-1,9.775268555E0,9.790911272E0
2.805990150E-1,2.005019188E-1,4.830481410E-1,9.722568512E0,9.736625442E0
2.831102120E-1,2.028973997E-1,4.998164773E-1,9.727358818E0,9.742304319E0
2.856213580E-1,2.316431403E-1,4.998164773E-1,9.710591316E0,9.726204746E0
2.881325560E-1,1.981064379E-1,5.141893625E-1,9.727358818E0,9.742953681E0
2.906437540E-1,2.340386212E-1,5.165848136E-1,9.717778206E0,9.734312878E0
2.931549000E-1,2.579934001E-1,4.710707664E-1,9.741731644E0,9.756526210E0
2.956660980E-1,2.460160106E-1,4.782571793E-1,9.768082619E0,9.782877483E0
2.981772960E-1,1.478013843E-1,4.926300645E-1,9.763292313E0,9.776830080E0
3.006884420E-1,2.028973997E-1,4.974210262E-1,9.768082619E0,9.782843813E0
3.031996400E-1,2.148747742E-1,4.902345538E-1,9.806409836E0,9.821006820E0
3.057108370E-1,1.909199953E-1,4.998164773E-1,9.784851074E0,9.799468225E0
3.082201600E-1,1.933154762E-1,5.070029497E-1,9.782456398E0,9.797493355E0
3.107313580E-1,1.741516590E-1,5.141893625E-1,9.844738007E0,9.859695022E0
3.132425560E-1,1.238466054E-1,5.309576988E-1,9.902229309E0,9.917227402E0
3.157537020E-1,8.072798699E-2,4.926300645E-1,9.952533722E0,9.965045352E0
3.182649000E-1,6.395963579E-2,5.141893625E-1,9.998048782E0,1.001146648E1
3.207760980E-1,5.437772721E-2,4.950255156E-1,1.004835415E1,1.006068727E1
3.232872440E-1,5.916868150E-2,5.405396223E-1,1.008428574E1,1.009893573E1
