"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.687990000E-3,5.817549825E-1,1.850848317E0,5.178666592E0,5.530159674E0
6.187990000E-3,5.817549825E-1,1.850848317E0,5.178666592E0,5.530159674E0
8.687990000E-3,5.817549825E-1,1.850848317E0,5.178666592E0,5.530159674E0
1.118799000E-2,5.817549825E-1,1.850848317E0,5.178666592E0,5.530159674E0
1.372090700E-2,3.589234129E-2,1.625923038E0,4.429413795E0,4.718540087E0
1.626267700E-2,-1.890329868E-1,1.395912886E0,3.797409534E0,4.050262390E0
1.879418800E-2,-3.134597540E-1,1.151844978E0,3.383152008E0,3.587578763E0
2.133668800E-2,-2.464607358E-1,8.883354068E-1,3.260818958E0,3.388631430E0
2.387918800E-2,-1.818545163E-1,7.782655358E-1,3.342474222E0,3.436699323E0
2.642168800E-2,4.067798331E-2,6.897311211E-1,3.440579891E0,3.509269683E0
2.896418800E-2,2.611167729E-1,7.950153351E-1,3.488436222E0,3.587397194E0
3.150668800E-2,5.027918816E-1,8.715856671E-1,3.567399502E0,3.706588790E0
3.404918800E-2,6.607181430E-1,1.046560764E0,3.579363585E0,3.787305318E0
3.659168800E-2,7.471588850E-1,1.115952611E0,3.538685560E0,3.784956027E0
3.913418800E-2,7.878368497E-1,1.175773263E0,3.536292791E0,3.809002018E0
4.167668800E-2,8.309076428E-1,1.211665511E0,3.529114246E0,3.822719998E0
4.421918800E-2,8.189435601E-1,1.304985642E0,3.622434378E0,3.936456135E0
4.676168800E-2,7.998009920E-1,1.355234981E0,3.699004650E0,4.019823240E0
4.930418800E-2,7.519445419E-1,1.422533035E0,3.838087559E0,4.161722833E0
5.184668800E-2,7.399803996E-1,1.434497118E0,3.816552162E0,4.143841621E0
5.439564600E-2,6.320042610E-1,1.456032634E0,3.878765583E0,4.190976362E0
5.693616700E-2,6.320042610E-1,1.489532113E0,4.079762459E0,4.388917523E0
5.947679200E-2,5.817549825E-1,1.465603828E0,4.292723656E0,4.573172840E0
6.201741700E-2,5.171487927E-1,1.470389485E0,4.568197727E0,4.826791749E0
6.455804200E-2,4.310071766E-1,1.441675663E0,4.754837513E0,4.987251315E0
6.709861500E-2,2.252244353E-1,1.336092353E0,4.785944462E0,4.974045960E0
6.963924000E-2,1.148554832E-1,1.223629713E0,4.666303158E0,4.825437453E0
7.217986500E-2,-5.024927482E-2,1.089631557E0,4.644767761E0,4.771130838E0
7.472236500E-2,-2.321037948E-1,1.025025368E0,4.702195644E0,4.818214716E0
7.726486500E-2,-3.134597540E-1,9.508479238E-1,4.814658165E0,4.917652086E0
7.980736500E-2,-3.903291821E-1,8.763712645E-1,4.821836948E0,4.916349766E0
8.234986500E-2,-5.147559643E-1,8.428717852E-1,4.884349346E0,4.983199282E0
8.489236500E-2,-5.865406394E-1,8.835497499E-1,5.015954494E0,5.126840116E0
8.743486500E-2,-6.367899179E-1,8.934201598E-1,5.109274387E0,5.225742602E0
8.997736500E-2,-6.535396576E-1,9.005986452E-1,5.252843857E0,5.369409706E0
9.251986500E-2,-6.966105103E-1,8.141579032E-1,5.372784138E0,5.478588202E0
9.506236500E-2,-6.655037999E-1,7.591229677E-1,5.432604790E0,5.525609269E0
9.760486500E-2,-6.678966284E-1,6.370890141E-1,5.466104031E0,5.543488215E0
1.001473650E-1,-5.697908998E-1,5.557330847E-1,5.475675583E0,5.533220041E0
1.026898650E-1,-4.549354017E-1,4.887340367E-1,5.576174259E0,5.616008062E0
1.052323650E-1,-3.206382394E-1,4.360919297E-1,5.645565987E0,5.671454872E0
1.077748650E-1,-1.483550072E-1,3.209373355E-1,5.765207291E0,5.776038875E0
1.103173650E-1,-1.387837082E-1,1.127617657E-1,5.781956673E0,5.784721177E0
1.128598650E-1,-1.674975902E-1,-1.456630826E-1,5.738885880E0,5.743177197E0
1.154023650E-1,-2.871387079E-2,-1.456630826E-1,5.901896954E0,5.903764043E0
1.179448650E-1,2.659024298E-1,6.251249462E-2,6.150750637E0,6.156812918E0
1.204873650E-1,5.458626747E-1,2.635096014E-1,6.423831463E0,6.452364995E0
1.230298650E-1,7.782655358E-1,4.671986103E-1,6.687041759E0,6.748370120E0
1.255723650E-1,9.864411354E-1,6.777670383E-1,6.861718178E0,6.965314826E0
1.281148650E-1,1.048654556E0,7.495517135E-1,6.890431881E0,7.009961174E0
