"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.727219590E-1,-8.735656738E-2,-1.593017578E-2,9.822479248E0,9.822880612E0
3.777268420E-1,-7.658386230E-2,-1.712036133E-2,9.815307617E0,9.815621316E0
3.827012070E-1,-6.221008301E-2,-3.952026367E-3,9.833267212E0,9.833464790E0
3.876755720E-1,-8.975219727E-2,2.029418945E-3,9.836853027E0,9.837262681E0
3.926499380E-1,-6.939697266E-2,-3.149414062E-2,9.826080322E0,9.826375849E0
3.976243030E-1,-9.931945801E-2,-3.662109375E-4,9.816497803E0,9.817000234E0
4.026291860E-1,-8.496093750E-2,1.040649414E-2,9.824874878E0,9.825247733E0
4.076035510E-1,-8.975219727E-2,-4.226684570E-2,9.836853027E0,9.837353273E0
4.125779160E-1,-1.017150879E-1,-3.268432617E-2,9.823684692E0,9.824265630E0
4.175522810E-1,-9.214782715E-2,3.234863281E-3,9.815307617E0,9.815740691E0
4.225571640E-1,-9.214782715E-2,-8.743286133E-3,9.806930542E0,9.807367349E0
4.275315300E-1,-1.005249023E-1,-1.472473145E-2,9.826080322E0,9.826605547E0
4.325058950E-1,-9.573364258E-2,-2.909851074E-2,9.796142578E0,9.796653565E0
4.374802600E-1,-7.418823242E-2,-2.070617676E-2,9.822479248E0,9.822781236E0
4.424851430E-1,-9.573364258E-2,-9.933471680E-3,9.829666138E0,9.830137333E0
4.474595080E-1,-8.496093750E-2,-2.191162109E-2,9.857208252E0,9.857598744E0
4.524338730E-1,-1.089019775E-1,-3.627014160E-2,9.833267212E0,9.833937117E0
4.574082390E-1,-1.053161621E-1,-1.113891602E-2,9.820098877E0,9.820669912E0
4.624131210E-1,-9.333801270E-2,-2.909851074E-2,9.845230103E0,9.845715539E0
4.673874870E-1,-8.735656738E-2,1.161193848E-2,9.844039917E0,9.844434361E0
4.723618520E-1,-8.377075195E-2,-6.347656250E-3,9.808120728E0,9.808480516E0
4.773362170E-1,-8.256530762E-2,1.640319824E-2,9.821289062E0,9.821649808E0
4.823411000E-1,-9.573364258E-2,-1.951599121E-2,9.812911987E0,9.813398365E0
4.873154650E-1,-8.615112305E-2,-3.268432617E-2,9.824874878E0,9.825306949E0
4.922898300E-1,-1.089019775E-1,-3.627014160E-2,9.834457397E0,9.835127222E0
4.972641960E-1,-1.017150879E-1,-1.832580566E-2,9.844039917E0,9.844582453E0
5.022385610E-1,-7.897949219E-2,-2.761840820E-3,9.823684692E0,9.824002561E0
5.072129260E-1,-1.017150879E-1,-4.226684570E-2,9.822479248E0,9.823096814E0
5.121872910E-1,-1.280517578E-1,-5.157470703E-3,9.806930542E0,9.807767866E0
5.171921740E-1,-1.077117920E-1,1.879882812E-2,9.821289062E0,9.821897682E0
5.221665390E-1,-8.496093750E-2,-8.743286133E-3,9.805725098E0,9.806097057E0
5.271409050E-1,-6.820678711E-2,-2.070617676E-2,9.821289062E0,9.821547727E0
5.321152700E-1,-8.854675293E-2,-3.028869629E-2,9.834457397E0,9.834902655E0
5.371201530E-1,-1.089019775E-1,-1.556396484E-3,9.841644287E0,9.842246915E0
5.420945180E-1,-7.658386230E-2,-7.537841797E-3,9.829666138E0,9.829967359E0
5.470688830E-1,-8.016967773E-2,-8.743286133E-3,9.785369873E0,9.785702181E0
5.520737660E-1,-8.735656738E-2,-3.662109375E-4,9.798538208E0,9.798927611E0
5.570481310E-1,-9.693908691E-2,-2.070617676E-2,9.839248657E0,9.839747968E0
5.620224960E-1,-1.053161621E-1,-3.662109375E-4,9.816497803E0,9.817062735E0
5.669968620E-1,-9.573364258E-2,-2.191162109E-2,9.821289062E0,9.821780078E0
5.719712270E-1,-9.693908691E-2,-1.353454590E-2,9.794952393E0,9.795441427E0
5.769761100E-1,-1.077117920E-1,-1.232910156E-2,9.788970947E0,9.789571290E0
5.819504750E-1,-8.496093750E-2,-2.430725098E-2,9.856002808E0,9.856398964E0
