"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.588917700E-2,-1.297760010E-1,-1.720886230E-1,-1.464843750E-2,2.160344448E-1
5.086354200E-2,-1.297760010E-1,-1.694183350E-1,-1.252746582E-2,2.137786707E-1
5.583790700E-2,-1.169891357E-1,-1.417236328E-1,7.186889648E-3,1.839122001E-1
6.084279000E-2,-8.610534668E-2,-9.698486328E-2,2.316284180E-2,1.317448734E-1
6.584767300E-2,-5.094909668E-2,-4.904174805E-2,2.636718750E-2,7.547272408E-2
7.082203800E-2,-9.399414062E-3,4.745483398E-3,2.795410156E-2,2.987139755E-2
7.582692100E-2,2.947998047E-2,5.482482910E-2,2.476501465E-2,6.699356003E-2
8.080128600E-2,6.517028809E-2,9.635925293E-2,2.209472656E-2,1.184079770E-1
8.583668600E-2,9.286499023E-2,1.272583008E-1,1.837158203E-2,1.586067355E-1
9.081105200E-2,1.130981445E-1,1.453704834E-1,1.464843750E-2,1.847656474E-1
9.581593400E-2,1.216278076E-1,1.506958008E-1,9.841918945E-3,1.939056764E-1
1.008208170E-1,1.237487793E-1,1.389770508E-1,3.982543945E-3,1.861296368E-1
1.058257000E-1,1.178894043E-1,1.144714355E-1,-1.861572266E-3,1.643322447E-1
1.108000650E-1,1.029815674E-1,8.570861816E-2,-7.720947266E-3,1.342042603E-1
1.158049480E-1,8.380126953E-2,5.003356934E-2,-1.464843750E-2,9.869441502E-2
1.207793130E-1,5.877685547E-2,1.220703125E-2,-1.678466797E-2,6.233342145E-2
1.258147140E-1,3.108215332E-2,-2.401733398E-2,-2.104187012E-2,4.456111404E-2
1.307890790E-1,-1.419067383E-3,-4.957580566E-2,-2.476501465E-2,5.543536967E-2
1.357939620E-1,-3.497314453E-2,-7.034301758E-2,-2.796936035E-2,8.338792526E-2
1.407988450E-1,-5.894470215E-2,-8.580017090E-2,-3.276062012E-2,1.091302225E-1
1.458037270E-1,-7.917785645E-2,-9.645080566E-2,-3.861999512E-2,1.306269302E-1
1.507780930E-1,-8.982849121E-2,-9.751892090E-2,-4.661560059E-2,1.405422071E-1
1.557829750E-1,-8.982849121E-2,-8.952331543E-2,-4.766845703E-2,1.354838132E-1
1.607573410E-1,-8.238220215E-2,-7.780456543E-2,-4.661560059E-2,1.225291469E-1
1.657622240E-1,-6.427001953E-2,-6.394958496E-2,-4.501342773E-2,1.012244709E-1
1.707671060E-1,-4.029846191E-2,-4.690551758E-2,-4.447937012E-2,7.617419496E-2
1.757719890E-1,-1.100158691E-2,-3.039550781E-2,-4.447937012E-2,5.498487225E-2
1.807463540E-1,1.509094238E-2,-1.229858398E-2,-4.501342773E-2,4.904284236E-2
1.857512370E-1,4.331970215E-2,7.949829102E-3,-4.608154297E-2,6.374405838E-2
1.907256020E-1,6.782531738E-2,2.285766602E-2,-4.873657227E-2,8.659099289E-2
1.957610030E-1,8.647155762E-2,2.764892578E-2,-5.087280273E-2,1.040664952E-1
2.007353680E-1,9.765625000E-2,2.713012695E-2,-5.513000488E-2,1.153780932E-1
2.057402510E-1,1.003112793E-1,2.871704102E-2,-5.992126465E-2,1.203228123E-1
2.107146160E-1,9.658813477E-2,2.552795410E-2,-6.419372559E-2,1.187509100E-1
2.157194990E-1,8.433532715E-2,2.073669434E-2,-6.684875488E-2,1.095956839E-1
2.207243820E-1,6.782531738E-2,1.753234863E-2,-6.898498535E-2,9.831879337E-2
2.257292650E-1,4.971313477E-2,9.017944336E-3,-7.005310059E-2,8.637219454E-2
2.307036300E-1,3.213500977E-2,-1.113891602E-3,-6.898498535E-2,7.611062877E-2
2.357085130E-1,1.615905762E-2,-1.388549805E-2,-6.471252441E-2,6.812953115E-2
2.407133950E-1,-3.509521484E-4,-2.720642090E-2,-6.152343750E-2,6.727143426E-2
2.456877610E-1,-1.472473145E-2,-3.678894043E-2,-5.992126465E-2,7.183872083E-2
2.506926430E-1,-2.857971191E-2,-4.106140137E-2,-5.513000488E-2,7.444565839E-2
2.557280440E-1,-3.657531738E-2,-4.690551758E-2,-5.247497559E-2,7.931900456E-2
2.606718920E-1,-4.243469238E-2,-5.224609375E-2,-4.980468750E-2,8.373090425E-2
2.656462570E-1,-4.829406738E-2,-5.490112305E-2,-5.352783203E-2,9.061831525E-2
2.706511400E-1,-4.722595215E-2,-4.850769043E-2,-5.459594727E-2,8.697128288E-2
2.756560220E-1,-4.402160645E-2,-3.999328613E-2,-5.780029297E-2,8.293514718E-2
2.806609050E-1,-3.923034668E-2,-3.146362305E-2,-6.524658203E-2,8.237776486E-2
