Tempo (s);Posição (m);Velocidade (ms-1);Aceleração (ms-2)
0,02;-0,963797059;-0,037098345;0,223093292
0,06;-0,965512421;-0,029015189;0,249673857
0,1;-0,966492679;-0,018072749;0,279763998
0,14;-0,966982748;-0,006296361;0,30552507
0,18;-0,966982748;0,006296361;0,342727584
0,22;-0,966492679;0,019740479;0,426174992
0,26;-0,965512421;0,037268756;0,602471309
0,3;-0,963797059;0,064156453;0,884561414
0,34;-0,960856404;0,105509245;1,230942959
0,38;-0,955955353;0,163879908;1,541279072
0,42;-0,948113587;0,233482114;1,727170627
0,46;-0,937331226;0,306147171;1,795831062
0,5;-0,92360821;0,37898264;1,803986199
0,54;-0,906944539;0,450456598;1,803042057
0,58;-0,887585308;0,522271171;1,818405688
0,62;-0,865285363;0,596468026;1,822068028
0,66;-0,839799788;0,669303329;1,800088643
0,7;-0,811618593;0,739586436;1,796189937
0,74;-0,780741777;0,812081661;1,811313725
0,78;-0,746679273;0,885087086;1,815093558
0,82;-0,709921207;0,957922513;1,806230054
0,86;-0,669977393;1,029396388;1,799967471
0,9;-0,627583113;1,10104053;1,81131634
0,94;-0,582003083;1,17489739;1,811200018
0,98;-0,533482399;1,246541759;1,797253262
1,02;-0,482266124;1,318015862;1,779642537
1,06;-0,428109195;1,390681054;1,659099901
1,1;-0,371011641;1,460453268;1,176816521
1,14;-0,310973432;1,509804501;-0,039825382
1,18;-0,248239618;1,492276369;-2,121531948
1,22;-0,186731081;1,346265002;-4,322834397
1,26;-0,137230191;1,107507557;-5,569730326
1,3;-0,098756727;0,866367671;-5,847920737
1,34;-0,068124991;0,628801529;-5,6166459
1,38;-0,048275622;0,398893335;-4,799090535
1,42;-0,037983356;0,221739763;-3,380954671
1,46;-0,033327333;0,122867309;-1,81202342
1,5;-0,030386685;0,090874163;-0,613343853
1,54;-0,027200984;0,095809276;-0,030253577
1,58;-0,022790014;0,106530384;0,024344654
1,62;-0,018133989;0,10482862;-0,157885828
1,66;-0,013968073;0,091384688;-0,311044488
1,7;-0,010782372;0,075217942;-0,350043223
1,74;-0,008086778;0,061603835;-0,329125741
1,78;-0,005881294;0,049180962;-0,303717458
1,82;-0,004165916;0,037438801;-0,281027342
1,86;-0,002940645;0,027058037;-0,266964247
1,9;-0,00196043;0,015996567;-0,249946567
1,94;-0,001715377;0,006466691;-0,220283761
1,98;-0,001470324;-0,001701763;-0,204566058
2,02;-0,00196043;-0,007998288;-0,269445827
2,06;-0,002205485;-0,015315871;-0,553309374
2,1;-0,002450539;-0,043394957;-1,067029218
2,14;-0,004656023;-0,099893504;-1,617856995
2,18;-0,009802156;-0,177153564;-2,066342498
2,22;-0,018379043;-0,269559311;-2,387313893
2,26;-0,031121847;-0,371154575;-2,594007246
2,3;-0,047785513;-0,480577955;-2,660187054
2,34;-0,069350258;-0,593064514;-2,459521013
2,38;-0,09581608;-0,688363295;-1,960927853
2,42;-0,12546761;-0,754221518;-1,333284147
2,46;-0,157079559;-0,792000673;-0,772056423
2,5;-0,189426687;-0,810209491;-0,370605449
2,54;-0,222263899;-0,816335798;-0,125504698
2,58;-0,254856076;-0,817016502;0,016780828
2,62;-0,287693288;-0,814634065;0,128221837
2,66;-0,320285466;-0,80578501;0,206574037
2,7;-0,352142479;-0,796425322;0,242619282
2,74;-0,383999493;-0,786384899;0,272400614
2,78;-0,415121343;-0,77464268;0,295232231
2,82;-0,445998129;-0,762219893;0,299120596
2,86;-0,47613978;-0,749116308;0,260738752
2,9;-0,505791303;-0,740062694;0,193189886
2,94;-0,535197761;-0,734395627;0,138709833
2,98;-0,564359155;-0,731077045;0,103977006
